date,open,high,low,close,volume,average,barCount
2012-02-16,312.24,315.2,311.44,314.32,7660.0,313.432,21683
2012-02-17,317.68,318.0,315.44,318.0,8468.0,316.828,21093
2012-02-21,321.04,325.92,320.32,324.72,13373.0,323.024,34982
2012-02-22,324.0,326.64,323.44,324.72,9148.0,324.74,27226
2012-02-23,324.48,331.28,322.8,330.96,11348.0,327.212,30178
2012-02-24,332.8,336.56,330.4,336.08,14041.0,333.94,34664
2012-02-27,332.24,334.8,328.24,329.44,13195.0,331.808,34811
2012-02-28,330.96,332.88,325.28,326.32,11617.0,328.86,34199
2012-02-29,326.8,328.56,320.8,327.36,23705.0,325.22,44635
2012-03-01,329.12,338.4,326.56,334.0,27716.0,332.4,68523
2012-03-02,330.24,330.56,323.84,326.16,18242.0,326.82,47330
2012-03-05,327.44,327.92,324.56,327.76,8987.0,326.556,25481
2012-03-06,320.96,323.28,319.76,321.04,12146.0,321.34,29783
2012-03-07,320.24,325.92,319.28,324.88,10656.0,322.864,27344
2012-03-08,325.44,328.0,323.84,326.4,8606.0,326.372,23515
2012-03-09,326.48,330.88,325.92,328.72,8833.0,328.8,23845
2012-03-12,324.48,326.08,322.4,325.6,6059.0,324.46,16719
2012-03-13,324.64,328.48,323.52,326.64,8205.0,326.324,20195
2012-03-14,325.36,327.52,321.76,323.28,10366.0,324.6,24815
2012-03-15,323.28,324.48,317.6,322.16,33157.0,321.068,72010
2012-03-16,323.52,328.32,322.72,328.24,9470.0,325.944,22367
2012-03-19,329.52,331.04,328.48,330.32,6719.0,329.732,18836
2012-03-20,326.32,326.4,321.84,323.44,11314.0,324.124,25604
2012-03-21,324.24,327.76,323.44,325.28,9855.0,325.42,22703
2012-03-22,319.2,321.44,318.24,321.12,12385.0,319.804,26327
2012-03-23,321.68,329.68,320.32,325.36,21433.0,325.76,47508
2012-03-26,325.6,326.72,324.64,326.16,4894.0,325.78,11874
2012-03-27,326.8,328.0,324.32,325.68,8872.0,325.892,19321
2012-03-28,321.04,321.6,318.8,321.52,11633.0,320.18,27533
2012-03-29,320.24,320.96,310.96,314.32,15604.0,314.728,34910
2012-03-30,315.04,317.04,312.96,313.84,7065.0,314.632,19284
2012-04-02,311.44,321.04,311.04,320.32,8799.0,316.932,20812
2012-04-03,319.6,320.16,315.44,317.28,6061.0,317.632,15124
2012-04-04,312.96,313.84,307.76,310.72,10274.0,310.22,25299
2012-04-05,309.84,314.8,309.68,314.08,5087.0,312.896,13305
2012-04-09,308.48,312.32,306.88,311.76,6955.0,309.404,15963
2012-04-10,310.96,313.36,306.48,308.08,7808.0,308.84,20940
2012-04-11,309.44,313.84,308.56,312.24,9790.0,311.344,21243
2012-04-12,313.2,317.12,313.04,315.68,6895.0,315.288,21110
2012-04-13,314.0,314.64,312.16,313.12,4850.0,313.576,11925
2012-04-16,313.04,314.48,309.84,313.44,6287.0,312.076,15867
2012-04-17,318.64,319.12,316.32,317.12,6091.0,317.784,15155
2012-04-18,315.76,316.56,310.88,312.4,6046.0,313.472,14547
